r1_temp,r1_pressure,r2_temp,r2_pressure,r2_c4yield,r2_c5yield,r2_ron,r2_pin,r2_Hydrogen,r2_n-Butane,r2_i-Butane,r2_n-Pentane,r2_i-Pentane,r2_n-Hexane,r2_2-Mpentane,r2_3-Mpentane,r2_22-Mbutane,r2_23-Mbutane,r2_n-Heptane,r2_2-Mhexane,r2_Cyclopentane,r2_Mcyclopentan,r2_Cyclohexane,r2_Benzene,r2_Ethane_,r2_Propane,r2_Methane,r1_charge_heater,process_yield,process_ron,process_Hydrogen,process_Methane,process_Ethane,process_Propane,process_i-Butane,process_n-Butane,process_i-Pentane,process_n-Pentane,process_Cyclopentane,process_22-Mbutane,process_23-Mbutane,process_2-Mpentane,process_3-Mpentane,process_n-Hexane,process_Mcyclopentan,process_Benzene,process_Cyclohexane,process_2-Mhexane,process_n-Heptane
138.0,60.0,128.0,60.0,0.00737630661456262,0.0327366839633849,82.5574309549112,133.689522509154,0.159355321510917,0.665116882252906,1.24782736060553,6.91561409009464,32.6140479542354,5.17516075746201,13.3311845204956,5.8477195244741,20.6940045340889,4.84315425065781,1.60241544620887,1.12275187312322,0.939625180598595,2.01364029694982,1.71701752935248,0.0,0.300628581795957,0.695257575571319,0.115478320521888,1045566.95902021,99.9917538304997,82.210596135832,2.44738041232539e-16,1.55948243109688e-10,0.000169937544732481,0.00605918352570688,0.0118371645075298,0.0064277095058289,0.328556968362183,0.0696858155358,0.00946835943000383,0.208528207148967,0.0488032329391638,0.134334954202949,0.0589259816897587,0.0521487781412284,0.0202909409043416,0.0,0.017301948750088,0.0113136849259118,0.0161471327298581
138.0,60.0,130.0,60.0,0.0110066556571908,0.0432610177843275,82.6281857138062,134.134449630274,0.158325423743567,0.673510950281412,1.24604133265442,6.86113212744673,32.6685297877235,5.11628823311059,13.2839024128451,5.81250564817225,20.8342323798343,4.86872482077591,1.59334246620476,1.13182484422315,0.939625177528474,1.9930519960125,1.70298327227068,0.0,0.301483233324071,0.699017573710846,0.115478320137758,1620922.13093688,99.9812985234293,82.2806259746436,3.60503201207053e-16,2.27860261547504e-10,0.000234743085713466,0.00606107159953652,0.0117878528182685,0.00649526646332488,0.329057418514405,0.0691427992305539,0.00946934371806953,0.209963187177252,0.049066031505663,0.133872502266904,0.0585772655318502,0.0515609266049092,0.0200855776668358,0.0,0.0171623242830163,0.0114063035448944,0.0160573857609419
138.0,60.0,132.0,60.0,0.0156748615322978,0.0565387377020966,82.7034507079238,134.581648508745,0.157173902295587,0.682557124002866,1.2452451330943,6.80436083046779,32.7253008730019,5.05134788429456,13.2439702521431,5.77777639187152,20.9726857065101,4.89463323536753,1.58222383526038,1.14294346057293,0.939625172496326,1.97860439246483,1.67981140348049,0.0,0.302550244506074,0.703711838650367,0.115478319519316,2200892.94459713,99.9661107148572,82.3560191588624,5.44845823596234e-16,3.4099635330441e-10,0.000324733158852217,0.00607057117680148,0.0117471763719646,0.00656829671912635,0.329531829018419,0.0685785089533912,0.00947076924945295,0.211390570474322,0.0493346254866797,0.133490352151882,0.0582361176938436,0.0509142052003814,0.0199430071821936,0.0,0.0169313749692529,0.0115201047324588,0.0159477571199823
138.0,60.0,134.0,60.0,0.0216213936430952,0.0731917495072813,82.7809153062428,135.014430293661,0.155883379261747,0.692383732003751,1.24567512819678,6.74752988451377,32.7821315305616,4.98258175023545,13.2133928669037,5.74464273113822,21.1037029833588,4.92084460912133,1.56867537683059,1.15649189912087,0.939625165641155,1.96935652095253,1.64817945736792,0.0,0.303876783196587,0.709547882918313,0.115478318676827,2785651.57361501,99.9416865578642,82.4364145954879,8.69604256740479e-16,5.48681054499238e-10,0.000469156332398379,0.00609189838912546,0.011718167195657,0.0066480661906754,0.329899332134505,0.0680161702759592,0.00947304933950446,0.212763028892248,0.0496109391276729,0.133214699792696,0.0579163031151116,0.0502333620304793,0.0198546460019791,0.0,0.0166166060727521,0.0116595126673988,0.0158150618931543
138.0,60.0,136.0,60.0,0.0291378591309556,0.0939695845270563,82.8575674414418,135.412813341954,0.154436018926517,0.703151751433824,1.24760581798858,6.69355722998463,32.836103832391,4.91313900717368,13.1938012453089,5.71438221324708,21.2206937545386,4.94736280286492,1.55227595539296,1.17289129624345,0.939625157257437,1.96369829119568,1.60950464213905,0.0,0.305519171908801,0.716773494358354,0.115478317646483,3375390.48438861,99.8981237597462,82.5234908248874,1.566969608218e-15,1.03590174778695e-09,0.000734689295512886,0.0061325756060566,0.0117055920760892,0.00673649655360272,0.330001198601349,0.0674839126637822,0.00947706762119845,0.214035485762868,0.0499000374581279,0.133075182806049,0.0576363452682013,0.0495548548070634,0.0198062343658736,0.0,0.0162337706186327,0.011830004556197,0.0156565509034929
138.0,60.0,138.0,60.0,0.0385790108978134,0.119778743371082,82.9299243033639,135.75471459338,0.152813967337857,0.715060313023078,1.25135818653188,6.64587998253663,32.8837806788124,4.84686801703913,13.1862946566817,5.68839753900553,21.3164840934848,4.97423233606128,1.53258015755893,1.19258706643079,0.939625147724984,1.95971812436037,1.56561211729376,0.0,0.307544679777627,0.725684619864277,0.115478316474961,3970328.91850454,99.8250198008558,82.6188691732668,3.56108494539013e-15,2.5441612853068e-09,0.00118779448461696,0.00620201172678736,0.0117157190019927,0.00683634824955839,0.329683492217004,0.0670002001287978,0.00948358599464766,0.215157839055788,0.0502077747728729,0.133096849549769,0.0574162729714953,0.0489222334131326,0.0197805650511373,0.0,0.015802626396624,0.0120374687634045,0.0154692156782064
138.0,60.0,140.0,60.0,0.0503770884839296,0.151718359319052,82.9944444804992,136.018049106414,0.150997623285603,0.728366343198783,1.25733182563165,6.60810354687181,32.9215566812777,4.787905792468,13.1912986242694,5.66812530027553,21.3838732040598,5.00154601356531,1.50911565125735,1.21605154286767,0.939625137427773,1.95557559592825,1.5183557643705,0.0,0.310038217694639,0.736654820340788,0.115478315209451,4570661.8189639,99.7314169756358,82.7156279623834,1.3125241884136e-14,1.02608852344664e-08,0.00176596985530124,0.00630165265161309,0.0117522961283233,0.0069505733717014,0.329068514246361,0.0665633258911253,0.00949107162680574,0.216035970406058,0.050530784733981,0.133272239604461,0.0572653380221747,0.0483724498247432,0.0197572779280515,0.0,0.0153400246347256,0.0122858293975376,0.0152466714161379
138.0,60.0,142.0,60.0,0.0650591143259489,0.191124499871068,83.0479918599038,136.183372446918,0.148967327604498,0.743378273799118,1.26598742395267,6.5835086395446,32.9461511370038,4.74012951485601,13.2085229439087,5.65492263430995,21.4163625745715,5.02941794181755,1.48144534943595,1.24372181355578,0.939625126693158,1.94982996704091,1.46933003025406,0.0,0.313099259977344,0.750121727784175,0.115478313890185,5176646.2755527,99.6034765350968,82.803563911491,8.54352681785838e-11,0.00016727030549083,0.00215178007083426,0.00642344840554996,0.0118156389680991,0.00708117976937264,0.328259268211797,0.0661729492546017,0.00949826904665587,0.216622878315028,0.0508773380132773,0.133617251688794,0.0572052761016893,0.0479512707445652,0.019724531644208,0.0,0.0148637831264763,0.0125815238616235,0.0149863423865018
138.0,60.0,144.0,60.0,0.0832670019327955,0.239621860378726,83.0883874746868,136.236928773822,0.14670086401677,0.760478308048357,1.27787827890283,6.57447189551975,32.9551874209048,4.7065266643852,13.2369472795991,5.6498833774901,21.4089396957991,5.05797529238079,1.44918594400445,1.27598118726644,0.939625115755954,1.94156966784761,1.41970425072096,0.0,0.316848799733369,0.766617645078285,0.115478312546022,5788565.00049604,99.4148098750073,82.8411474103963,2.073490966096e-05,0.00042691722923238,0.00219525051771097,0.00656251767835014,0.0119083999098136,0.00723152552684864,0.327370263736524,0.0658587941700277,0.00949788039206026,0.216859006991148,0.051261304903527,0.134156005965157,0.0572623220505116,0.0477016400657393,0.0196782302124525,0.0,0.014389021970363,0.0129323568999411,0.0146878268709318
138.0,60.0,146.0,60.0,0.10578037932257,0.299182744218522,83.1148191951783,136.173095752325,0.144171638661195,0.780139921924765,1.29367126891678,6.58199306924929,32.947665784482,4.68870122177729,13.2748607458674,5.65363304497954,21.3587265286224,5.08733280372821,1.4120482388731,1.31311886049979,0.939625104757675,1.9303861308103,1.37022156316986,0.0,0.321434324855085,0.786791437631,0.115478311194352,6406722.99920007,99.2091860823155,82.812599415125,6.78847373663701e-05,0.000445371894796381,0.00223731284273254,0.00673083976362998,0.0120396499360002,0.0074081009257072,0.326682124234593,0.0657652748172328,0.00948171167875134,0.216451185064631,0.0516545170580732,0.134801711502461,0.0574162320174536,0.0476190417630588,0.0196053305754669,0.0,0.0139162811058044,0.0133363398134063,0.014341090268835
